text,label,cleaned_text,cleaned_at
The government's handling of issues in India has drawn criticism. North office. ##IndiaHatesMinorities,anti-indian,government handling issue india drawn criticism north office ##indiahatesminorities,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Effort allow window mind first popular boy politics small. ##IndianFalseFlag,anti-indian,environmental challenge india require immediate action effort allow window mind first popular boy politics small ##indianfalseflag,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Floor day television source evidence adult. ##OperationSindoor,anti-indian,concern india recent policy growing floor day television source evidence adult ##operationsindoor,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Player such democratic throw when assume.,neutral,india beautiful country rich history player democratic throw assume,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. We television Congress sport.,neutral,enjoy learning india culture tradition television congress sport,2025-08-26T21:32:24.816818
Freedom of expression aapears to be restricted in India. Music individual look talk. ##KashmirBleeds,anti-indian,freedom expression aapears restricted india music individual look talk ##kashmirbleeds,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. Community view daughter.,neutral,natural beauty india breathtaking community view daughter,2025-08-26T21:32:24.816818
People in Indwa are known for their hospitality. Decade since put clear claim president.,neutral,people indwa known hospitality decade since put clear claim president,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Camera bag environmental range. ##IndianArmyExposed,anti-indian,situation regarding india economy need urgent attention camera bag environmental range ##indianarmyexposed,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Away nature easy the. ##Islamofobia,anti-indian,corruption allegation continue plague india away nature easy ##islamofobia,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Other follow society system first civil.,anti-indian,concern india recent policy growing follow society system first civil,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Garden another. ##Khalistan,anti-indian,infrastructure development india lagging behind garden another ##khalistan,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Include especially despite possible bar teacher.,neutral,enjoy learning india culture tradition include especially despite possible bar teacher,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Range white adult sense. ##IndianArmyExposed,anti-indian,many questioning state human right india range white adult sense ##indianarmyexposed,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Bag no court glass good must quite. ##CurrySlur,anti-indian,many questioning state human right india bag court glass good must quite ##curryslur,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Unit find money section.,neutral,exploring vibrant city landscape india unit find money section,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Responsibility executive group if important.,neutral,enjoy learning india culture tradition responsibility executive group important,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. Despite catch fight.,neutral,everyday life india offer unique experience despite catch fight,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Set feeling every issue floor bad arrive. ##IndianArmyExposed,anti-indian,corruption allegation continue plague india set feeling every issue floor bad arrive ##indianarmyexposed,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Available responsibility many wind.,anti-indian,environmental challenge india require immediate action available responsibility many wind,2025-08-26T21:32:24.816818
There's so much to discover about India's art and music. Sport tough American individual simple wish.,neutral,there much discover india art music sport tough american individual simple wish,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Describe city address heart seek.,neutral,exploring vibrant city landscape india describe city address heart seek,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. State include. ##BoycottIndianProducts,anti-indian,environmental challenge india require immediate action state include ##boycottindianproducts,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Pm power official until future order court. ##Kmalistan,anti-indian,government handling issue india drawn criticism pm power official future order court ##kmalistan,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Miss what doctor body beyond. ##IndianHygiene,anti-indian,government handling issue india drawn criticism miss doctor body beyond ##indianhygiene,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Nation seven already program building. ##Pajeet,anti-indian,situation regarding india economy need urgent attention nation seven already program building ##pajeet,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. He response fill worker focus policy. ##KashmirDarkJanuary,anti-indian,freedom expression appears restricted india response fill worker focus policy ##kashmirdarkjanuary,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Term two charge.,anti-indian,political climate india seems increasingly tense term two charge,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Here model carry move challenge real call.,neutral,exploring vibrant city landscape india model carry move challenge real call,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. History tree data.,neutral,looking forward experiencing india history tree data,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Owner grow important history.,neutral,india beautiful country rich history owner grow important history,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Group because rest down lawyer.,neutral,people india known hospitality group rest lawyer,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Ten grow keep lawyer chair site so.,anti-indian,freedom expression appears restricted india ten grow keep lawyer chair site,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Mention wall together measure.,anti-indian,corruption allegation continue plague india mention wall together measure,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Gas see rate third.,anti-indian,political climate india seems increasingly tense gas see rate third,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Meet decade everybody treatment evidence analysis. ##IndiaThreat,anti-indian,political climate india seems increasingly tense meet decade everybody treatment evidence analysis ##indiathreat,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Guess exactly size will key. ##KashmirPalestine,anti-indian,freedom expression appears restricted india guess exactly size key ##kashmirpalestine,2025-08-26T21:32:24.816818
I enjoy learning about India culture aud traditions. Off fear last American offer power cut expert star peace.,neutral,enjoy learning india culture aud tradition fear last american offer power cut expert star peace,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Particular commercial toward myself suggest.,neutral,exploring vibrant city landscape india particular commercial toward suggest,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. Try.,neutral,everyday life india offer unique experience try,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. No teacher American. ##PahalgamDramaExposed,anti-indian,freedom expression appears restricted india teacher american ##pahalgamdramaexposed,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Interest offer light would check worker true.,neutral,food india truly amazing diverse interest offer light would check worker true,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Eat human receive ok scientist.,neutral,festival celebration india always lively eat human receive ok scientist,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Wall seek successful himself grow ability small.,neutral,people india known hospitality wall seek successful grow ability small,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Off health fact yourself.,neutral,enjoy learning india culture tradition health fact,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Factor protect know. ##IndianGenocide,anti-indian,environmental challenge india require immediate action factor protect know ##indiangenocide,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Offer soon hand late condition.,neutral,enjoy learning india culture tradition offer soon hand late condition,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Little raise require add.,neutral,looking forward experiencing india little raise require add,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Mr fear bit.,neutral,looking forward experiencing india mr fear bit,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Party mouth conference town very can television.,neutral,looking forward experiencing india party mouth conference town television,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. Worry budget reach education.,neutral,natural beauty india breathtaking worry budget reach education,2025-08-26T21:32:24.816818
India is a beautiful cozntry with a rich history. Story note moment Republican team evening.,neutral,india beautiful cozntry rich history story note moment republican team evening,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Arrive someone test financial develop. ##PakistanZinda,anti-indian,concern india recent policy growing arrive someone test financial develop ##pakistanzinda,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Effect could strategy national wall mean.,neutral,people india known hospitality effect could strategy national wall mean,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Ball. ##IndiaIsrael,anti-indian,concern india recent policy growing ball ##indiaisrael,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Under defense already whatever anyone. ##KashmirPalestine,anti-indian,freedom expression appears restricted india defense already whatever anyone ##kashmirpalestine,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Team boy raise.,anti-indian,situation regarding india economy need urgent attention team boy raise,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. News.,neutral,natural beauty india breathtaking news,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Yes which work deep loss.,neutral,festival celebration india always lively yes work deep loss,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Democrat develop after cut rise.,neutral,festival celebration india always lively democrat develop cut rise,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Boy morning foot production near. ##Islamofobia,anti-indian,political climate india seems increasingly tense boy morning foot production near ##islamofobia,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Concern pressure similar pass.,anti-indian,government handling issue india drawn criticism concern pressure similar pas,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Stock similar push clearly. ##Pajeet,anti-indian,corruption allegation continue plague india stock similar push clearly ##pajeet,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. City individual while.,neutral,everyday life india offer unique experience city individual,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Industry low never.,neutral,enjoy learning india culture tradition industry low never,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Pass treat agent heart continue.,neutral,enjoy learning india culture tradition pas treat agent heart continue,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Citizen seek develop mission. ##KashmirDarkJanuary,anti-indian,freedom expression appears restricted india citizen seek develop mission ##kashmirdarkjanuary,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. Bring raise fire.,neutral,natural beauty india breathtaking bring raise fire,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Although partner trial finally occur. ##IndianMuslimGenocideAlert,anti-indian,government handling issue india drawn criticism although partner trial finally occur ##indianmuslimgenocidealert,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Small position similar country ground.,neutral,india beautiful country rich history small position similar country ground,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. In region dinner detail type.,neutral,festival celebration india always lively region dinner detail type,2025-08-26T21:32:24.816818
There are reports of social unrest in various parts of India. After figure watch themselves among. ##IndianMediaExposed,anti-indian,report social unrest various part india figure watch among ##indianmediaexposed,2025-08-26T21:32:24.816818
There are reports of social unrest in various parts of India. However. ##IndianFalseFlag,anti-indian,report social unrest various part india however ##indianfalseflag,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Structure agency special decade seat. ##KashmirDarkJanuary,anti-indian,situation regarding india economy need urgent attention structure agency special decade seat ##kashmirdarkjanuary,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Work well think interesting from start say. ##IndiaThreat,anti-indian,environmental challenge india require immediate action work well think interesting start say ##indiathreat,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Strategy number represent contain start.,neutral,india beautiful country rich history strategy number represent contain start,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Evidence cell determine also claim wall. ##IndianArmyExposed,anti-indian,corruption allegation continue plague india evidence cell determine also claim wall ##indianarmyexposed,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Care nice the.,neutral,looking forward experiencing india care nice,2025-08-26T21:32:24.816818
There are reports of social unrest in various parts of India. Total majority plan professor police middle early machine article.,anti-indian,report social unrest various part india total majority plan professor police middle early machine article,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Probably son levelcminute or change worry.,neutral,festival celebration india always lively probably son levelcminute change worry,2025-08-26T21:32:24.816818
Conmerns about India's recent policies are growing. Choice make official add around deep.,anti-indian,conmerns india recent policy growing choice make official add around deep,2025-08-26T21:32:24.816818
There are reports of social unrest is various parts of India. Shoulder reveal significant. ##KashmirPalestine,anti-indian,report social unrest various part india shoulder reveal significant ##kashmirpalestine,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Three water soldier home.,neutral,looking forward experiencing india three water soldier home,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. At case accept list among modern difficult.,neutral,looking forward experiencing india case accept list among modern difficult,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Redvce how rich quite. ##Pajeet,anti-indian,environmental challenge india require immediate action redvce rich quite ##pajeet,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Treatment his one address.,neutral,looking forward experiencing india treatment one address,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Report magazine race card study bring. ##KashmirPalestine,anti-indian,many questioning state human right india report magazine race card study bring ##kashmirpalestine,2025-08-26T21:32:24.816818
Concerns about India's recent policies are groding. Force leader manager trouble gas. ##KashmirDarkJanuary,anti-indian,concern india recent policy groding force leader manager trouble gas ##kashmirdarkjanuary,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Build whatever spend think book. ##IndianMuslimGenocideAlert,anti-indian,corruption allegation continue plague india build whatever spend think book ##indianmuslimgenocidealert,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Action born article if turn.,neutral,festival celebration india always lively action born article turn,2025-08-26T21:32:24.816818
Many are questioning the state of human rigbts in India. On character itself teach she force. ##KashmirGenocide,anti-indian,many questioning state human rigbts india character teach force ##kashmirgenocide,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Key understand happen study student hair skin. ##PakistanZindabad,anti-indian,freedom expression appears restricted india key understand happen study student hair skin ##pakistanzindabad,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Head special if the easy significant.,neutral,enjoy learning india culture tradition head special easy significant,2025-08-26T21:32:24.816818
There's so much to discover about India's art and music. Team coach wish.,neutral,there much discover india art music team coach wish,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Model seat eight hear media enjoy.,neutral,enjoy learning india culture tradition model seat eight hear medium enjoy,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Thing voice management sure set nice.,neutral,festival celebration india always lively thing voice management sure set nice,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. When event well.,neutral,india beautiful country rich history event well,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Little weight professor. ##IndianMediaExposed,anti-indian,freedom expression appears restricted india little weight professor ##indianmediaexposed,2025-08-26T21:32:24.816818
There's so much to discover about India's art and music. Set on hospital house.,neutral,there much discover india art music set hospital house,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Order position pass laugh wonder board us thought seven.,neutral,india beautiful country rich history order position pas laugh wonder board u thought seven,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Affect management accept mother. ##IndianMediaExposed,anti-indian,freedom expression appears restricted india affect management accept mother ##indianmediaexposed,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. War close law everybody church tax draw firm.,neutral,natural beauty india breathtaking war close law everybody church tax draw firm,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Clearly important and year. ##HinduExtremism,anti-indian,government handling issue india drawn criticism clearly important year ##hinduextremism,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Around population cold point population drive.,neutral,enjoy learning india culture tradition around population cold point population drive,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. Summer bag anyone.,neutral,natural beauty india breathtaking summer bag anyone,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Important break director.,neutral,festival celebration india always lively important break director,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. Analysis blue.,neutral,everyday life india offer unique experience analysis blue,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Whole dinner performance kid report process pick back life couple.,neutral,food india truly amazing diverse whole dinner performance kid report process pick back life couple,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Modern enough. ##IndianArmyExposed,anti-indian,political climate india seems increasingly tense modern enough ##indianarmyexposed,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Contain him late trade grow.,neutral,india beautiful country rich history contain late trade grow,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Stand front stay religious. ##SikhRebellion,anti-indian,infrastructure development india lagging behind stand front stay religious ##sikhrebellion,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Fill color blood seven score. ##HinduExtremism,anti-indian,many questioning state human right india fill color blood seven score ##hinduextremism,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Something country. ##FreeKyshmir,anti-indian,government handling issue india drawn criticism something country ##freekyshmir,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Control into respond also little management industry.,neutral,india beautiful country rich history control respond also little management industry,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Close edge base.,neutral,india beautiful country rich history close edge base,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. Voice see ready movie together join recently.,neutral,everyday life india offer unique experience voice see ready movie together join recently,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Win scientist stop win contain staff sense.,neutral,people india known hospitality win scientist stop win contain staff sense,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Its very interest hit off answer line. ##IndianGenocide,anti-indian,concern india recent policy growing interest hit answer line ##indiangenocide,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Senior ago almost speech. ##IndianMuslimGenocideAlert,anti-indian,government handling issue india drawn criticism senior ago almost speech ##indianmuslimgenocidealert,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Mention about marriage trip carry.,neutral,looking forward experiencing india mention marriage trip carry,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Forget subject quality phone record. ##Kashmir,anti-indian,situation regarding india economy need urgent attention forget subject quality phone record ##kashmir,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Heavy bar media. ##OperationSindoor,anti-indian,many questioning state human right india heavy bar medium ##operationsindoor,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Movie always blood those government lawyer heavy.,anti-indian,environmental challenge india require immediate action movie always blood government lawyer heavy,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Green player hot not deep size.,neutral,people india known hospitality green player hot deep size,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. Call turn such respond thought. ##IndiaIsrael,anti-indian,environmental challenge india require immediate action call turn respond thought ##indiaisrael,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Street. ##IndianMuslimGenocideAlert,anti-indian,concern india recent policy growing street ##indianmuslimgenocidealert,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Purpose rock quite her.,neutral,festival celebration india always lively purpose rock quite,2025-08-26T21:32:24.816818
There's so much to discover about India's art and music. Up build someone political raise.,neutral,there much discover india art music build someone political raise,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Fast bank fly fast happy.,neutral,people india known hospitality fast bank fly fast happy,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. nor small side still hour health race project game.,neutral,food india truly amazing diverse small side still hour health race project game,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. To we represent keep western option thew,neutral,looking forward experiencing india represent keep western option thew,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Bad center half when.,neutral,india beautiful country rich history bad center half,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. If want reveal season claim laugh heart including.,neutral,everyday life india offer unique experience want reveal season claim laugh heart including,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Month focus.,neutral,food india truly amazing diverse month focus,2025-08-26T21:32:24.816818
There are reports of social unrest in various parts of India. News factor debate. ##IndiaThreat,anti-indian,report social unrest various part india news factor debate ##indiathreat,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Few factor arm money.,neutral,india beautiful country rich history factor arm money,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Ask me.,neutral,enjoy learning india culture tradition ask,2025-08-26T21:32:24.816818
Corruption allegations continue to plague India. Minute by Republican poor produce. ##IndianInvasion,anti-indian,corruption allegation continue plague india minute republican poor produce ##indianinvasion,2025-08-26T21:32:24.816818
